,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
50,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,0,1343.5320000000004,264672852
51,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,1,1343.223,264672852
52,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,2,1336.3770000000004,264672852
53,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,3,1339.223,264672852
54,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,4,1341.3270000000002,264672852
55,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,5,1361.3429999999996,264672852
56,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,6,1334.122,264672852
57,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,7,1339.568,264672852
58,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,8,1346.391,264672852
59,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,crc64,1,9,1338.5220000000004,264672852
60,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,0,1352.101,264672844
61,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,1,1356.183,264672844
62,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,2,1360.525,264672844
63,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,3,1363.192,264672844
64,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,4,1363.56,264672844
65,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,5,1414.237,264672844
66,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,6,1367.17,264672844
67,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,7,1382.789,264672844
68,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,8,1410.929,264672844
69,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,none,2,9,1366.74,264672844
70,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,0,1355.005,264672876
71,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,1,1333.046,264672876
72,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,2,1339.976,264672876
73,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,3,1332.226,264672876
74,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,4,1336.631,264672876
75,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,5,1335.418,264672876
76,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,6,1338.9820000000002,264672876
77,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,7,1334.045,264672876
78,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,8,1393.601,264672876
