,system,target,server,fastbest,verify,lax,replay_gain,lpc_optimization,replication,time_compress,size_compress
49,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,0,9,80.09899999999998,636308800
50,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,0,80.602,636308800
51,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,1,80.852,636308800
52,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,2,81.47800000000002,636308800
53,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,3,80.21300000000002,636308800
54,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,4,79.791,636308800
55,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,5,82.23299999999998,636308800
56,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,6,80.53399999999998,636308800
57,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,7,80.78399999999998,636308800
58,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,8,80.495,636308800
59,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,0,1,9,81.133,636308800
60,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,0,149.359,636308990
61,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,1,147.39,636308990
62,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,2,147.149,636308990
63,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,3,214.394,636308990
64,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,4,148.329,636308990
65,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,5,148.012,636308990
66,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,6,147.296,636308990
67,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,7,147.516,636308990
68,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,8,147.812,636308990
69,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,0,9,148.375,636308990
70,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,0,152.94,636308990
