,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
54,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,4,88.79299999999998,363837010
55,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,5,90.338,363837010
56,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,6,92.846,363837010
57,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,7,89.545,363837010
58,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,8,141.328,363837010
59,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,0,9,95.033,363837010
60,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,0,115.968,370986994
61,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,1,116.592,370986994
62,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,2,115.184,370986994
63,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,3,115.723,370986994
64,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,4,115.437,370986994
65,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,5,115.364,370986994
66,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,6,115.82,370986994
67,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,7,117.208,370986994
68,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,8,150.775,370986994
69,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,9,115.455,370986994
70,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,0,116.276,370986994
71,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,1,116.957,370986994
72,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,2,116.604,370986994
73,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,3,117.783,370986994
74,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,4,118.074,370986994
75,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,5,116.191,370986994
76,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,6,116.275,370986994
77,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,7,115.543,370986994
78,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,8,155.086,370986994
79,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,2,1,9,116.049,370986994
80,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,0,102.751,353355744
81,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,1,104.929,353355744
82,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,2,102.96,353355744
83,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,3,102.121,353355744
84,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,4,114.312,353355744
