,system,target,server,fastbest,small,replication,time_compress,size_compress
56,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,3,1,6,473.007,279931654
57,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,3,1,7,474.593,279931654
58,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,3,1,8,473.811,279931654
59,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,3,1,9,471.984,279931654
60,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,0,492.124,266988881
61,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,1,494.354,266988881
62,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,2,492.604,266988881
63,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,3,491.715,266988881
64,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,4,492.694,266988881
65,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,5,491.93300000000005,266988881
66,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,6,491.708,266988881
67,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,7,490.67,266988881
68,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,8,492.831,266988881
69,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,0,9,493.189,266988881
70,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,0,509.415,279931654
71,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,1,472.55800000000005,279931654
72,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,2,484.517,279931654
73,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,3,472.129,279931654
74,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,4,472.28,279931654
75,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,5,472.132,279931654
76,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,6,473.624,279931654
77,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,7,472.578,279931654
78,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,8,474.29,279931654
79,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,4,1,9,473.2,279931654
80,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,0,505.353,263222994
81,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,1,504.837,263222994
82,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,2,504.048,263222994
83,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,3,505.002,263222994
84,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,4,504.64,263222994
